response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
P,3,16,3,16,0.01,0.0002518000529334089,0.001977073279941967,0.0005972236857393065
P,3,17,3,16,1e-07,0.001050119055996853,0.008245281532638607,0.004200475974849072
P,3,18,3,16,1e-08,0.00045895466351488114,0.003603601315286441,0.0013167061878707198
P,3,19,3,16,1e-08,0.00015761403426319437,0.0012375473795791015,0.00034253527896316305
P,3,20,4,16,1e-08,0.0004790535339526924,0.0037614127979953864,0.0013372168014595676
P,3,21,4,16,1e-08,0.00024112431370365716,0.0018932499505626347,0.0007393786250142476
P,3,22,4,16,0.01,0.00018496864051843455,0.0014523291497992663,0.0003478150475679648
P,3,23,4,16,0.01,0.00022288677900036464,0.0017500532270757275,0.00043810095504531743
P,3,24,4,16,1e-08,0.0010500909784932656,0.008245061074852901,0.00420036360709089
P,3,25,5,16,1e-06,0.0010501179756440355,0.008245273049968872,0.004200471604686951
P,3,26,5,16,0.01,0.0004040764808411843,0.003172711061881158,0.0007351557839685996
P,3,27,5,16,0.01,0.000267070094643002,0.0020969699642195507,0.0006956562381227605
P,3,28,5,16,0.01,0.00010672438265064426,0.0008379741100081993,0.0002090085898082128
P,3,29,5,16,0.01,0.00035924746710912936,0.0028207244590855007,0.0012486589589171815
P,3,30,6,16,0.01,0.00022473661462687388,0.00176457769022357,0.00047573608804535317
P,3,31,6,16,0.01,0.001141765924326221,0.008964870636983518,0.0022932341999316874
P,3,32,6,16,1e-08,0.00015390793603198153,0.00120844799020086,0.00036649855240385165
P,3,33,6,16,1e-08,0.00024169226251452474,0.001897709347632889,0.000549680960052451
P,3,34,6,16,1e-05,0.0010500936481290404,0.008245082036189073,0.004200374401044565
P,3,35,7,16,0.01,0.00022435402561349322,0.0017615736935732821,0.0004414200777694971
P,3,36,7,16,1e-05,0.0010501075257827476,0.00824519100017861,0.004200429909802905
P,3,37,7,16,0.01,0.0003928417579372187,0.0030844987275221317,0.0012661278077478744
P,3,38,7,16,0.01,0.00047694047200094595,0.003744821545233558,0.0013251193569477626
P,3,39,7,16,1e-08,0.0002558454656693903,0.0020088368849669465,0.0006909973189475338
P,3,40,8,16,1e-08,0.00015037148757187418,0.001180680649904791,0.00036017999600550243
P,3,41,8,16,1e-08,0.0002854221361426665,0.002241065767451841,0.0006002133087564809
P,3,42,8,16,1e-08,0.0003901488800410394,0.0030633548998197186,0.0012505030676977502
P,3,43,8,16,0.01,0.0005637231365646827,0.004426218094886013,0.0015615179952435387
P,3,44,8,16,1e-08,0.001050093445552711,0.008245080445608599,0.004200373486304615
P,3,45,9,16,0.01,0.00020742758927238473,0.0016286713981814127,0.0005561295922468512
P,3,46,9,16,0.01,0.0004491812876121635,0.003526863125095505,0.0012944908883581185
P,3,47,9,16,1e-08,0.0004070663720747887,0.003196186966667625,0.001273881321250253
P,3,48,9,16,1e-08,0.0010501020168466758,0.008245147745341361,0.0042004078710311255
P,3,49,9,16,1e-06,0.0002849299307747951,0.0022372010896262178,0.000694002927110221
P,4,0,0,16,1e-08,0.0004498308503394845,0.0035319633349519828,0.0008981360616149014
P,4,1,0,16,1e-05,0.0010500832429460442,0.00824500033720198,0.004200332777146237
P,4,2,0,16,1e-08,0.0004234111235953232,0.0033245220131542337,0.0008232888871527733
P,4,3,0,16,0.01,0.00029262700858967563,0.0022976366880470764,0.0005262549670628919
P,4,4,0,16,0.01,0.0008089895683516883,0.006351990957535241,0.0022442063134426593
P,4,5,1,16,0.01,0.00032314915889790477,0.002537289250140584,0.0006974153986863407
P,4,6,1,16,0.001,0.0003247883292201599,0.0025501596201331646,0.0007191918021420274
P,4,7,1,16,1e-05,0.0010500774940102654,0.008244955197944923,0.004200309737132479
P,4,8,1,16,0.01,0.0003209786024133113,0.002520246564174869,0.0007766851318449786
P,4,9,1,16,0.01,0.0006297900791140513,0.00494495979203872,0.0019644431794758332
P,4,10,2,16,0.01,0.0010354738921785564,0.008130291238839167,0.0024634014533780335
P,4,11,2,16,1e-08,0.0003688919530441781,0.002896450636339338,0.0007510714508055655
P,4,12,2,16,1e-08,0.0006724544896211586,0.005279950452427439,0.0018522157513056192
P,4,13,2,16,1e-05,0.0010501069977146727,0.008245186853915457,0.004200427582364552
P,4,14,2,16,0.01,0.0006921127245283318,0.005434302171233761,0.0021229327968466383
P,4,15,3,16,1e-08,0.0006058393421485761,0.004756904382447991,0.002107905596788945
P,4,16,3,16,1e-08,0.0005213509849824543,0.004093522181080828,0.0016254512313408354
P,4,17,3,16,1e-08,0.0010501184520929796,0.00824527679093106,0.004200473616517736
P,4,18,3,16,1e-08,0.0006980546842414841,0.00548095700566492,0.002225841045752297
P,4,19,3,16,1e-08,0.00032457793438408843,0.002548507650628835,0.0006329240929689173
P,4,20,4,16,0.1,0.0009904111298608546,0.007776469298530579,0.002126343237075917
P,4,21,4,16,1e-08,0.0006052864998075855,0.004752563597735439,0.001386630133504263
P,4,22,4,16,1e-08,0.00022262766323764756,0.0017480187126071574,0.0003879607642254812
P,4,23,4,16,1e-08,0.00023730247933749618,0.0018632418289690341,0.0004879354666195712
P,4,24,4,16,1e-06,0.0010500532369998174,0.008244764737749823,0.004200212615800669
P,4,25,5,16,1e-08,0.001050074426386028,0.008244931111699341,0.004200297331075659
