method,b,R,P,U,dominated_by_pin_pareto,points,dominated_points,minimum_dominance_margin
pchip,4.2524999999999995,0.7695059053925801,0.08335376314595583,0.84035265696425,True,,,
pchip,4.2532499999999995,0.7695094399819447,0.08333909566509129,0.8403631754616822,True,,,
pchip,4.254,0.7695129659379676,0.08332443616437114,0.840373715274368,True,,,
pchip,4.25475,0.7695164832479009,0.083309784650249,0.8403842763438657,True,,,
pchip,4.2555,0.7695199918989973,0.08329514112917853,0.840394858611734,True,,,
pchip,4.25625,0.7695234918785093,0.08328050560761338,0.8404054620195311,True,,,
pchip,4.257,0.769526983173689,0.08326587809200715,0.8404160865088159,True,,,
pchip,4.25775,0.769530465771789,0.08325125858881355,0.8404267320211467,True,,,
pchip,4.2585,0.7695339396600616,0.08323664710448614,0.840437398498082,True,,,
pchip,4.25925,0.7695374048257595,0.08322204364547864,0.8404480858811803,True,,,
pchip,4.26,0.7695408612561347,0.08320744821824465,0.840458794112,True,,,
pchip,4.26075,0.7695443089384401,0.08319286082923782,0.8404695231320997,True,,,
pchip,4.2615,0.7695477478599279,0.0831782814849118,0.840480272883038,True,,,
pchip,4.26225,0.7695511780078503,0.08316371019172022,0.8404910433063733,True,,,
pchip,4.263,0.76955459936946,0.08314914695611673,0.840501834343664,True,,,
pchip,4.26375,0.7695580119320093,0.08313459178455498,0.8405126459364688,True,,,
pchip,4.2645,0.7695614156827508,0.08312004468348862,0.840523478026346,True,,,
