a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.136666666667,3.275,8.0,1.3882044664151645,1.9968139176853361,1.5362599929782084,2.142286396555863,1.8066024328765882,2.34952634477112,0.8886835072841144,0.6321989296760543
0.136666666667,3.275,10.0,1.2506805765928135,1.9283673136545227,1.4500313192921228,2.0731774851998255,1.7139622447049132,2.279173548035939,0.8195745959280767,0.5448154190423636
0.136666666667,3.39375,2.0,1.7127783530747527,1.7146637848223678,1.7976792891958153,1.8138726769659752,2.0285738387030614,2.0299444707749754,0.745530854388036,0.6118354067184987
0.136666666667,3.39375,4.0,1.506602147756779,1.5066808595827403,1.5912927674647714,1.5913684699791009,1.819952650978402,1.8200238459608777,0.5393546490700624,0.40157012808278597
0.136666666667,3.39375,6.0,1.4559032352489716,1.5742320709044206,1.5404763815559233,1.7162960344404037,1.7686804650435393,1.9185996640934797,0.4886557365622549,0.42461464634346385
0.136666666667,3.39375,8.0,1.4239224249102138,1.9065729534590354,1.5161164023723215,2.0512705518375793,1.7695798489076326,2.257010936360523,0.7976676625658305,0.5829955241035584
0.136666666667,3.39375,10.0,1.2742274115869612,1.8372372285075043,1.3926735807933868,1.9813590902121416,1.6605167441160624,2.185916539463213,0.7277562009403928,0.4842384369088857
0.136666666667,3.5125,2.0,1.7859867259879172,1.7860665480479825,1.8711975513925347,1.8712744341335008,2.102920308753231,2.102992306417332,0.8187392273012005,0.6823229835844238
0.136666666667,3.5125,4.0,1.5544934830043269,1.5545719466944763,1.639289929343794,1.6393653888771844,1.8685149079038805,1.8685858741183272,0.5872459843176102,0.44972025945267236
0.136666666667,3.5125,6.0,1.4947357512171757,1.5341716091565993,1.5792796646096596,1.6665852875034355,1.8079727802950727,1.8678319169727273,0.5274882525304591,0.42067950608811916
0.136666666667,3.5125,8.0,1.4699640185197786,1.8607464173036556,1.5538961365169544,2.0050409754993095,1.786504829856662,2.2102283675235883,0.7514380862275607,0.5766467953323323
0.136666666667,3.5125,10.0,1.3438839582035769,1.792114284261466,1.427674553752148,1.9357935464167293,1.672209125786779,2.1398546061187753,0.6821906571449805,0.4808383502189199
0.136666666667,3.63125,2.0,1.8581796232489118,1.8582592884061115,1.943856341231289,1.9439330686018341,2.176363545032486,2.176435741529846,0.8909321245621952,0.7550879391374204
0.136666666667,3.63125,4.0,1.6036973127682255,1.6037756733934372,1.688728803320473,1.6888041603101211,1.9185239543928838,1.918594824001297,0.6364498140815088,0.4992707924934137
0.136666666667,3.63125,6.0,1.5371713875370365,1.548251573443738,1.6218202506977915,1.6617135819639168,1.8510341242905144,1.8620101227240604,0.5699238888503199,0.4425835112385171
0.136666666667,3.63125,8.0,1.5219026435535359,1.85101939794018,1.6058525308330682,1.9951802151056184,1.8351114769397907,2.2001553169247376,0.7415773258338696,0.5971202680118293
0.136666666667,3.63125,10.0,1.4216888853761456,1.7847404177886534,1.5036405895499647,1.9283619713522957,1.7322735177605244,2.1320949873513357,0.6747590820805469,0.5127167326588274
0.136666666667,3.75,2.0,1.9254728422877003,1.9255524515408249,2.011754055410327,2.011830725939227,2.2450175579263427,2.245089700753622,0.9582253436009837,0.8230362267720147
0.136666666667,3.75,4.0,1.6503293602743294,1.6504077264505466,1.7357078208596841,1.7357831806833515,1.9660329312727116,1.9661038034677956,0.6830818615876127,0.5463108082970772
